Mumbai Vs Pune,9/4/2016,20:00
Kolkata Vs Delhi,10/4/2016,20:00
Punjab Vs Gujarat,11/4/2016,20:00
Bangalore Vs Hyderabad,12/4/2016,20:00
Kolkata Vs Mumbai,13/04/2016,20:00
Gujarat Vs Pune,14/04/2016,20:00
Delhi Vs Punjab,15/04/2016,20:00
Hyderabad Vs Kolkata,16/04/2016,16:00
Mumbai Vs Gujarat,16/04/2016,20:00
Punjab Vs Pune,17/04/2016,16:00
Bangalore Vs Delhi,17/04/2016,20:00
Hyderabad Vs Mumbai,18/04/2016,20:00
Punjab Vs Kolkata,19/04/2016,20:00
Mumbai Vs Bangalore,20/04/2016,20:00
Gujarat Vs Hyderabad,21/04/2016,20:00
Pune Vs Bangalore,22/04/2016,20:00
Delhi Vs Mumbai,23/04/2016,16:00
Hyderabad Vs Punjab,23/04/2016,20:00
Gujarat Vs Bangalore,24/04/2016,16:00
Pune Vs Kolkata,24/04/2016,20:00
Punjab Vs Mumbai,25/04/2016,20:00
Hyderabad Vs Pune,26/04/2016,20:00
Delhi Vs Gujarat,27/04/2016,20:00
Mumbai Vs Kolkata,28/04/2016,20:00
Pune Vs Gujarat,29/04/2016,20:00
Delhi Vs Kolkata,30/04/2016,16:00
Hyderabad Vs Bangalore,30/04/2016,20:00
Gujarat Vs Punjab,1/5/2016,16:00
Pune Vs Mumbai,1/5/2016,20:00
Bangalore Vs Kolkata,2/5/2016,20:00
Gujarat Vs Delhi,3/5/2016,20:00
Kolkata Vs Punjab,4/5/2016,20:00
Delhi Vs Pune,5/5/2016,20:00
Hyderabad Vs Gujarat,6/5/2016,20:00
Bangalore Vs Pune,7/5/2016,16:00
Punjab Vs Delhi,7/5/2016,20:00
Mumbai Vs Hyderabad,8/5/2016,16:00
Kolkata Vs Gujarat,8/5/2016,20:00
Punjab Vs Bangalore,9/5/2016,20:00
Pune Vs Hyderabad,10/5/2016,20:00
Bangalore Vs Mumbai,11/5/2016,20:00
Hyderabad Vs Delhi,12/5/2016,20:00
Mumbai Vs Punjab,13/05/2016,20:00
Bangalore Vs Gujarat,14/05/2016,16:00
Kolkata Vs Pune,14/05/2016,20:00
Mumbai Vs Delhi,15/05/2016,16:00
Punjab Vs Hyderabad,15/05/2016,20:00
Kolkata Vs Bangalore,16/05/2016,20:00
Pune Vs Delhi,17/05/2016,20:00
Bangalore Vs Punjab,18/05/2016,20:00
Gujarat Vs Kolkata,19/05/2016,20:00
Delhi Vs Hyderabad,20/05/2016,20:00
Pune Vs Punjab,21/05/2016,16:00
Gujarat Vs Mumbai,21/05/2016,20:00
Kolkata Vs Hyderabad,22/05/2016,16:00
Delhi Vs Bangalore,22/05/2016,20:00
TBC Vs TBC,24/05/2016,20:00
TBC Vs TBC,25/05/2016,20:00
TBC Vs TBC,27/05/2016,20:00
TBC Vs TBC,29/05/2016,20:00
